,SalePrice,zhvi_px,zhvi_idx,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,NewConstruction,PropertyType_Multiplex,PropertyType_Single Family,PropertyType_Townhouse,ZipGroup,AdjSalePrice
16,605000,414800,0.953125,1,7320,2120,0,2.75,3,8,1901,0,0,261000,422000,0,0,1,0,4,634754.0
18,425000,427800,0.982996323529412,1,3485,2620,1060,1.5,4,7,1920,0,0,235000,373000,0,0,1,0,4,432352.0
20,455000,392100,0.900965073529412,1,5253,1500,750,1.75,3,6,1919,0,0,333000,117000,0,0,1,0,4,505014.0
21,495000,428400,0.984375,1,4600,2070,1000,2.25,3,7,1909,0,0,212000,366000,0,0,1,0,4,502857.0
22,279500,366100,0.841222426470588,1,27229,3020,1510,3.0,3,6,2000,0,0,142000,189000,0,0,1,0,1,332255.0
23,400000,415100,0.953814338235294,1,24034,2370,1080,2.0,4,8,1960,0,0,139000,200000,0,0,1,0,1,419369.0
24,530500,428400,0.984375,1,3296,1530,0,2.5,3,8,1998,0,0,269000,209000,0,0,1,0,2,538921.0
25,490000,411100,0.944623161764706,1,3696,1530,0,2.5,3,8,1998,0,0,269000,216000,0,0,1,0,2,518725.0
26,608000,329600,0.757352941176471,1,13349,2780,0,2.5,3,10,1990,0,1,255000,480000,0,0,1,0,3,802796.0
27,630000,394900,0.907398897058823,1,8186,2420,0,2.5,3,10,1992,0,0,269000,432000,0,0,1,0,3,694292.0
28,635000,411700,0.946001838235294,1,9093,2280,0,2.5,4,10,1990,0,1,255000,416000,0,0,1,0,3,671246.0
29,520000,352600,0.810202205882353,1,9093,2280,0,2.5,4,10,1990,0,1,255000,416000,0,0,1,0,3,641815.0
30,730000,339400,0.779871323529412,1,8750,3130,0,2.5,3,10,1991,0,0,269000,514000,0,0,1,0,3,936052.0
31,605000,342800,0.787683823529412,1,9055,3060,600,3.25,3,10,1994,0,0,281000,511000,0,0,1,0,3,768075.0
32,778000,396500,0.911075367647059,1,10223,3190,630,3.5,3,10,1994,0,0,269000,529000,0,0,1,0,3,853936.0
33,635000,328100,0.75390625,1,13412,3130,990,2.75,4,9,1993,0,0,281000,433000,0,0,1,0,3,842280.0
34,569950,387600,0.890625,1,9021,2660,0,2.5,3,9,1992,0,0,269000,394000,0,0,1,0,3,639944.0
35,527000,311900,0.716681985294118,1,9948,2230,0,2.75,3,9,1993,0,0,269000,347000,0,0,1,0,3,735333.0
36,585000,421900,0.969439338235294,1,9594,2341,0,2.5,4,9,1997,0,0,269000,347000,0,0,1,0,3,603442.0
37,705000,397900,0.914292279411765,1,9185,3540,1510,3.75,4,9,1996,0,0,269000,483000,0,0,1,0,3,771088.0
38,697500,428400,0.984375,1,9001,2470,0,2.5,3,9,1995,0,0,269000,382000,0,0,1,0,3,708571.0
39,721500,421900,0.969439338235294,1,9012,2810,0,2.5,4,9,1996,0,0,269000,429000,0,0,1,0,3,744245.0
40,695000,400600,0.920496323529412,1,9100,2590,0,2.5,4,9,1996,0,0,269000,402000,0,0,1,0,3,755027.0
41,395000,400600,0.920496323529412,1,5420,2330,0,2.75,3,8,2003,0,1,87000,211000,0,0,1,0,2,429116.0
42,330000,383200,0.880514705882353,1,4500,1850,0,2.5,3,8,2004,0,0,90000,185000,0,0,1,0,2,374781.0
43,222300,311900,0.716681985294118,1,4500,1850,0,2.5,3,8,2004,0,0,90000,185000,0,0,1,0,2,310179.0
44,369950,428400,0.984375,1,4800,1920,0,2.5,4,8,2004,0,0,90000,189000,0,0,1,0,2,375822.0
45,377000,411100,0.944623161764706,1,4597,1850,0,2.5,3,8,2003,0,0,90000,183000,0,0,1,0,2,399101.0
46,254000,398100,0.914751838235294,1,4597,1850,0,2.5,3,8,2003,0,0,90000,183000,0,0,1,0,2,277671.0
47,279950,425600,0.977941176470588,1,5085,920,0,1.0,3,7,1954,0,2,80000,120000,0,0,1,0,0,286265.0
50,259000,383200,0.880514705882353,1,5635,1190,0,1.0,3,7,1922,0,1,61000,127000,0,0,1,0,1,294146.0
51,212000,396500,0.911075367647059,1,4543,1290,0,1.0,3,7,1951,0,0,61000,152000,0,0,1,0,1,232692.0
52,515000,407400,0.936121323529412,1,7800,2470,1000,2.25,4,8,1975,0,0,269000,283000,0,0,1,0,3,550142.0
53,535000,404400,0.929227941176471,1,9030,2730,1260,2.5,5,8,1976,0,0,269000,301000,0,0,1,0,3,575747.0
54,447500,318000,0.730698529411765,1,9800,1980,680,2.75,4,8,1976,0,0,269000,270000,0,0,1,0,3,612428.0
55,343000,330600,0.759650735294118,1,9750,1470,0,1.75,3,7,1978,0,0,269000,177000,0,0,1,0,3,451523.0
56,518000,394900,0.907398897058823,1,11000,2410,1040,2.5,4,7,1978,0,0,269000,275000,0,0,1,0,3,570862.0
57,359000,334700,0.769071691176471,1,9200,1850,490,2.0,3,7,1977,0,0,269000,190000,0,0,1,0,3,466797.0
58,625000,407700,0.936810661764706,1,7140,1690,0,1.75,3,8,1955,0,0,541000,205000,0,0,1,0,3,667157.0
59,638000,432100,0.992876838235294,1,7140,1510,0,1.5,3,8,1955,0,0,541000,166000,0,0,1,0,3,642577.0
60,705000,431300,0.991038602941177,1,8568,1500,0,1.5,3,8,1954,0,0,541000,172000,0,0,1,0,3,711375.0
61,699500,432100,0.992876838235294,1,7821,3620,830,3.5,5,10,1958,2010,0,541000,808000,0,0,1,0,3,704518.0
62,1285000,315200,0.724264705882353,1,7821,3620,830,3.5,5,10,1958,2010,0,541000,808000,0,0,1,0,3,1774213.0
63,830000,418300,0.961167279411765,1,8736,3060,1530,2.5,3,8,1956,0,0,500000,284000,0,0,1,0,3,863533.0
64,350000,311600,0.715992647058823,1,4000,1240,620,2.0,3,6,1918,2012,0,194000,232000,0,0,1,0,4,488832.0
65,435000,407400,0.936121323529412,1,5320,1490,250,1.75,3,8,1962,0,0,201000,282000,0,0,1,0,4,464683.0
66,700000,404400,0.929227941176471,1,5098,1790,980,2.5,3,9,2005,0,0,289000,464000,1,0,1,0,4,753314.0
67,660000,334700,0.769071691176471,1,5098,1790,980,2.5,3,9,2005,0,0,289000,464000,0,0,1,0,4,858177.0
68,539800,327500,0.752527573529412,1,5460,2230,800,3.25,3,8,1977,0,0,231000,435000,0,0,1,0,4,717316.0
70,240000,312700,0.718520220588235,1,4320,760,0,1.0,2,6,1941,0,1,212000,120000,0,0,1,0,4,334020.0
71,358950,404400,0.929227941176471,1,7980,2080,0,1.75,3,7,1937,0,0,189000,281000,0,0,1,0,2,386288.0
72,289950,342800,0.787683823529412,1,5320,1180,0,1.75,3,7,1968,0,0,179000,174000,0,0,1,0,2,368105.0
73,283000,404400,0.929227941176471,1,8631,1130,0,1.75,3,7,1955,0,0,91000,143000,0,0,1,0,1,304554.0
74,357500,392100,0.900965073529412,1,8428,2130,0,2.5,5,7,2013,0,0,94000,275000,1,0,1,0,1,396797.0
75,78000,398100,0.914751838235294,1,16344,780,0,1.0,2,5,1942,0,1,125000,1000,0,0,1,0,1,85269.0
76,430450,432100,0.992876838235294,1,7288,1800,0,2.5,3,8,2007,0,1,102000,241000,1,0,1,0,1,433538.0
77,289000,411100,0.944623161764706,1,7920,2100,1050,2.0,4,7,1967,0,1,102000,136000,0,0,1,0,1,305942.0
78,235000,407400,0.936121323529412,1,19570,1400,300,1.0,2,6,1929,0,3,105000,77000,0,0,1,0,1,251036.0
79,200000,421200,0.967830882352941,1,8140,700,0,1.0,1,6,1943,0,0,104000,70000,0,0,1,0,1,206648.0
80,531000,407700,0.936810661764706,1,19350,5050,2500,3.75,5,9,1959,0,0,109000,351000,0,0,1,0,1,566817.0
81,190000,434200,0.997702205882353,1,9000,880,0,1.0,2,5,1928,0,1,91000,37000,0,0,1,0,1,190438.0
82,89000,332400,0.763786764705882,1,9000,880,0,1.0,2,5,1928,0,1,91000,37000,0,0,1,0,1,116525.0
83,458000,404400,0.929227941176471,1,10498,2730,0,2.5,4,8,2002,0,0,114000,252000,0,0,1,0,1,492882.0
84,225000,418300,0.961167279411765,1,9282,1500,0,1.0,5,6,1966,0,1,104000,161000,0,0,1,0,1,234090.0
85,200000,395300,0.908318014705882,1,10080,1970,0,1.5,3,7,1966,0,0,114000,137000,0,0,1,0,1,220187.0
86,271300,433200,0.995404411764706,1,9180,3670,0,4.25,6,10,2008,0,0,110000,531000,0,0,1,0,1,272553.0
87,1713000,334700,0.769071691176471,1,26540,5000,1590,3.5,5,10,2008,0,0,1013000,1053000,0,0,1,0,3,2227361.0
88,1852000,400300,0.919806985294118,1,16240,5050,1200,3.25,4,11,1987,0,0,876000,813000,0,0,1,0,3,2013466.0
89,3650000,415100,0.953814338235294,1,16750,6210,0,5.5,5,11,2009,0,0,2412000,2698000,0,0,1,0,3,3826741.0
90,281000,400600,0.920496323529412,1,8040,2220,1110,1.75,4,7,1955,0,0,161000,188000,0,0,1,0,4,305270.0
91,200000,411100,0.944623161764706,1,7201,1250,0,1.75,3,6,1983,0,1,143000,134000,0,0,1,0,4,211725.0
92,399950,427800,0.982996323529412,1,8336,1420,310,1.5,3,7,1955,0,0,161000,175000,0,0,1,0,4,406868.0
93,421000,433500,0.99609375,1,8285,2160,0,2.5,4,7,1963,0,0,162000,188000,0,0,1,0,3,422651.0
94,325775,407400,0.936121323529412,1,7984,1150,0,1.0,3,7,1961,0,0,162000,141000,0,0,1,0,3,348005.0
95,450000,434200,0.997702205882353,1,13042,2520,0,3.0,5,8,2003,0,0,105000,241000,0,0,1,0,2,451036.0
96,420000,418300,0.961167279411765,1,9520,2180,0,2.5,4,8,2004,0,0,105000,225000,0,0,1,0,2,436969.0
97,277000,342800,0.787683823529412,1,8408,1900,0,2.5,4,8,2004,0,0,105000,209000,0,0,1,0,2,351664.0
98,592000,414800,0.953125,1,15295,3340,0,2.5,4,10,1990,0,0,128000,344000,0,0,1,0,1,621115.0
99,339950,383200,0.880514705882353,1,13125,2480,880,2.5,5,8,1977,0,0,108000,201000,0,0,1,0,1,386081.0
111,805000,429600,0.987132352941177,1,5875,2600,1000,2.75,3,8,1929,0,2,286000,567000,0,0,1,0,4,815493.0
112,689975,434600,0.998621323529412,1,5000,1560,780,1.75,2,7,1936,0,2,344000,151000,0,0,1,0,4,690928.0
113,619950,430900,0.990119485294118,1,5000,2880,1440,2.0,4,8,1941,0,2,260000,275000,0,0,1,0,4,626137.0
114,695000,429600,0.987132352941177,1,3440,1830,220,1.5,3,8,1941,0,2,201000,418000,0,0,1,0,4,704060.0
115,531000,421200,0.967830882352941,1,6000,2480,1240,1.75,5,7,1955,0,1,259000,408000,0,0,1,0,4,548650.0
116,385000,396500,0.911075367647059,1,7045,1810,360,2.5,4,7,1988,0,0,91000,224000,0,0,1,0,0,422578.0
117,453000,434200,0.997702205882353,1,6300,1590,930,1.75,3,7,1925,0,0,238000,248000,0,0,1,0,2,454043.0
118,391000,392100,0.900965073529412,1,6550,1850,0,2.0,3,7,1985,0,0,238000,276000,0,0,1,0,2,433979.0
119,282000,387600,0.890625,1,6550,1810,0,1.5,3,7,1950,0,0,238000,249000,0,0,1,0,2,316632.0
120,230000,312700,0.718520220588235,1,6600,2210,790,2.5,4,8,1943,2011,0,238000,429000,0,0,1,0,4,320102.0
121,515000,427800,0.982996323529412,1,6500,1680,590,1.75,3,7,1944,0,0,238000,226000,0,0,1,0,2,523908.0
122,425000,366100,0.841222426470588,1,6550,1810,770,1.5,3,7,1928,0,0,238000,239000,0,0,1,0,2,505217.0
123,389950,429600,0.987132352941177,1,6550,1370,600,1.75,3,6,1914,0,0,238000,189000,0,0,1,0,2,395033.0
124,375000,360700,0.828814338235294,1,6550,1370,600,1.75,3,6,1914,0,0,238000,189000,0,0,1,0,2,452454.0
125,460000,397900,0.914292279411765,1,6550,1720,700,2.0,4,7,1975,0,0,238000,281000,0,0,1,0,2,503121.0
126,290000,387600,0.890625,1,6419,1080,300,1.0,2,6,1918,0,0,238000,165000,0,0,1,0,2,325614.0
127,630000,383200,0.880514705882353,1,4109,2810,1060,3.0,4,8,1918,2013,0,302000,663000,0,0,1,0,3,715491.0
128,560000,407700,0.936810661764706,1,4109,2110,970,1.75,4,7,1924,0,0,302000,318000,0,0,1,0,3,597773.0
129,575000,365000,0.838694852941177,1,4109,2110,970,1.75,4,7,1924,0,0,302000,318000,0,0,1,0,3,685589.0
130,210000,400600,0.920496323529412,1,5040,1180,0,1.0,2,6,1942,0,2,83000,81000,0,0,1,0,1,228138.0
131,125000,318700,0.732306985294118,1,9452,1100,0,1.75,3,6,1942,0,0,103000,80000,0,0,1,0,4,170693.0
132,304000,400600,0.920496323529412,1,11475,1260,0,1.0,4,6,1942,0,0,108000,117000,0,0,1,0,4,330257.0
133,185000,382600,0.879136029411765,1,10450,2930,840,2.5,7,7,1950,0,2,92000,120000,0,0,1,0,1,210434.0
134,257000,392100,0.900965073529412,1,18090,1370,0,1.0,3,6,1947,0,0,138000,103000,0,0,1,0,1,285250.0
135,320000,328100,0.75390625,1,7800,1980,0,2.5,3,8,1999,0,0,86000,221000,0,0,1,0,1,424456.0
136,359950,410700,0.943704044117647,1,7800,1980,0,2.5,3,8,1999,0,0,86000,221000,0,0,1,0,1,381423.0
137,389950,404400,0.929227941176471,1,29800,1270,0,0.75,2,6,1949,1990,0,155000,113000,0,0,1,0,1,419649.0
138,289950,414800,0.953125,1,8500,1320,0,1.5,3,7,2003,0,1,87000,153000,0,0,1,0,1,304210.0
139,530000,403200,0.926470588235294,1,4761,1530,300,1.5,3,7,1925,0,0,271000,364000,0,0,1,0,3,572063.0
140,520000,415100,0.953814338235294,1,4000,1590,0,1.0,4,7,1907,0,1,249000,331000,0,0,1,0,4,545179.0
141,880000,411100,0.944623161764706,1,6000,2280,930,2.5,4,8,1980,0,1,370000,487000,0,0,1,0,4,931588.0
142,865000,433200,0.995404411764706,1,4000,3080,1020,2.5,5,8,1925,0,0,312000,532000,0,0,1,0,4,868994.0
153,1020000,418300,0.961167279411765,1,12946,5210,0,3.25,4,11,2002,0,1,288000,777000,0,0,1,0,3,1061210.0
154,1140000,421200,0.967830882352941,1,17584,4610,0,4.0,5,11,2004,0,0,380000,721000,0,0,1,0,3,1177892.0
155,1274500,339900,0.781020220588235,1,22093,4930,0,4.0,4,12,2004,0,0,371000,873000,0,0,1,0,3,1631840.0
156,1484402,404400,0.929227941176471,1,17771,4960,0,4.0,4,12,2006,0,0,331000,885000,1,0,1,0,3,1597457.0
157,1645000,400300,0.919806985294118,1,15400,5240,0,4.25,5,12,2007,0,0,353000,928000,1,0,1,0,3,1788419.0
158,1500000,425600,0.977941176470588,1,14942,4950,0,4.25,5,11,2006,0,0,315000,788000,1,0,1,0,3,1533835.0
159,840000,350900,0.806295955882353,1,14205,4630,0,3.5,4,11,2003,0,0,330000,737000,0,0,1,0,3,1041801.0
160,958000,421200,0.967830882352941,1,15151,3550,0,3.75,4,11,2004,0,0,299000,643000,0,0,1,0,3,989842.0
161,705000,330600,0.759650735294118,1,15151,3550,0,3.75,4,11,2004,0,0,299000,643000,0,0,1,0,3,928058.0
162,1095000,411100,0.944623161764706,1,19098,4540,0,3.5,5,11,2003,0,0,337000,709000,0,0,1,0,3,1159192.0
163,1200000,428400,0.984375,1,16531,5210,0,3.25,4,11,2002,0,0,326000,772000,0,0,1,0,3,1219048.0
164,865800,334700,0.769071691176471,1,16271,4460,0,3.5,4,11,2001,0,0,369000,684000,0,0,1,0,3,1125773.0
165,1150000,418300,0.961167279411765,1,17679,4220,0,4.25,4,11,2001,0,0,380000,687000,0,0,1,0,3,1196462.0
166,1455000,418300,0.961167279411765,1,15783,4840,0,3.5,4,11,2006,0,0,304000,769000,1,0,1,0,3,1513784.0
167,1050000,425200,0.977022058823529,1,15644,4160,0,4.5,4,11,2004,0,0,304000,696000,0,0,1,0,3,1074694.0
168,1110000,400600,0.920496323529412,1,15709,4330,0,3.5,4,11,2005,0,0,304000,716000,0,0,1,0,3,1205871.0
169,1346950,411100,0.944623161764706,1,14479,4630,0,4.5,4,11,2005,0,0,299000,757000,1,0,1,0,3,1425913.0
170,1225950,425600,0.977941176470588,1,14837,3950,0,3.5,4,11,2006,0,0,299000,684000,1,0,1,0,3,1253603.0
171,949950,396500,0.911075367647059,1,7338,3720,0,4.25,5,10,2004,0,0,276000,528000,1,0,1,0,3,1042669.0
172,647500,314100,0.721737132352941,1,7845,3550,0,3.5,4,10,2004,0,0,276000,507000,0,0,1,0,3,897141.0
173,700250,387600,0.890625,1,7121,3150,0,2.5,4,10,2005,0,0,276000,463000,0,0,1,0,3,786246.0
174,669000,381600,0.876838235294118,1,8938,3210,0,2.5,4,10,2005,0,0,280000,467000,0,0,1,0,3,762969.0
175,709950,403200,0.926470588235294,1,7331,3230,0,2.5,4,10,2004,0,0,276000,465000,0,0,1,0,3,766295.0
176,866750,400600,0.920496323529412,1,8030,3320,0,3.75,4,10,2005,0,0,280000,492000,1,0,1,0,3,941612.0
177,885000,392100,0.900965073529412,1,8727,4070,0,3.5,4,10,2005,0,0,280000,561000,1,0,1,0,3,982280.0
178,675000,350800,0.806066176470588,1,6998,3740,0,3.5,4,10,2005,0,0,242000,382000,0,0,1,0,3,837400.0
179,842950,400600,0.920496323529412,1,7380,3190,0,4.25,5,10,2005,0,0,276000,478000,1,0,1,0,3,915756.0
180,869950,392100,0.900965073529412,1,7422,3280,0,3.25,4,10,2005,0,0,276000,484000,1,0,1,0,3,965576.0
181,974413,387600,0.890625,1,9379,5090,1470,4.5,6,10,2005,0,0,299000,592000,0,0,1,0,3,1094078.0
182,745950,414800,0.953125,1,9924,3100,0,2.75,4,10,2006,0,0,270000,471000,1,0,1,0,3,782636.0
183,800000,352600,0.810202205882353,1,8448,3280,0,4.0,4,10,2007,0,0,280000,501000,1,0,1,0,3,987408.0
184,790000,350300,0.804917279411765,1,12297,3510,0,3.5,4,10,2008,0,0,292000,522000,1,0,1,0,3,981467.0
185,710000,315200,0.724264705882353,1,12297,3510,0,3.5,4,10,2008,0,0,292000,522000,0,0,1,0,3,980305.0
186,875000,390600,0.897518382352941,1,9473,3500,0,3.5,3,10,2008,0,0,285000,526000,1,0,1,0,3,974910.0
187,760331,392100,0.900965073529412,1,6565,3490,0,3.25,4,10,2005,0,0,266000,501000,1,0,1,0,3,843907.0
188,869950,404400,0.929227941176471,1,11736,4100,0,3.5,4,10,2006,0,0,287000,568000,0,0,1,0,3,936207.0
189,829950,396500,0.911075367647059,1,9750,3550,0,3.75,4,10,2005,0,0,270000,512000,0,0,1,0,3,910956.0
190,792656,411100,0.944623161764706,1,10145,3780,0,2.5,4,10,2006,0,0,270000,529000,1,0,1,0,3,839124.0
191,750000,404400,0.929227941176471,1,12364,3150,0,2.5,4,10,2006,0,0,277000,468000,1,0,1,0,3,807122.0
192,819950,430900,0.990119485294118,1,7339,3480,0,2.5,4,10,2006,0,0,276000,501000,1,0,1,0,3,828132.0
193,895000,423400,0.972886029411765,1,8074,4100,0,3.75,5,10,2006,0,0,280000,566000,0,0,1,0,3,919943.0
194,758125,316900,0.728170955882353,1,8074,4100,0,3.75,5,10,2006,0,0,280000,566000,0,0,1,0,3,1041136.0
195,909950,429600,0.987132352941177,1,8860,4100,0,3.5,4,10,2006,0,0,280000,572000,1,0,1,0,3,921812.0
196,850915,400600,0.920496323529412,1,10365,4070,0,3.5,4,10,2006,0,0,285000,565000,0,0,1,0,3,924409.0
197,879950,425200,0.977022058823529,1,6098,3560,0,3.5,4,10,2006,0,0,266000,509000,1,0,1,0,3,900645.0
198,965950,423400,0.972886029411765,1,6635,3480,0,3.5,4,10,2006,0,0,266000,509000,1,0,1,0,3,992871.0
199,832475,433500,0.99609375,1,8629,3730,0,3.0,4,10,2006,0,0,280000,520000,1,0,1,0,3,835740.0
200,781123,430900,0.990119485294118,1,6866,3200,0,2.75,5,10,2007,0,0,266000,484000,1,0,1,0,3,788918.0
201,610000,345800,0.794577205882353,1,6866,3200,0,2.75,5,10,2007,0,0,266000,484000,0,0,1,0,3,767704.0
202,825000,430900,0.990119485294118,1,7024,3490,0,3.25,4,10,2006,0,0,276000,504000,1,0,1,0,3,833233.0
203,822950,421200,0.967830882352941,1,8131,3830,0,3.75,5,10,2005,0,0,280000,537000,1,0,1,0,3,850304.0
204,799950,418300,0.961167279411765,1,7208,3880,0,2.5,4,10,2006,0,1,262000,540000,1,0,1,0,3,832269.0
205,742000,418400,0.961397058823529,1,7208,3880,0,2.5,4,10,2006,0,1,262000,540000,0,0,1,0,3,771793.0
206,790000,433500,0.99609375,1,7180,3490,0,3.25,4,10,2006,0,1,262000,508000,1,0,1,0,3,793098.0
207,769950,433500,0.99609375,1,6713,3200,0,2.75,5,10,2006,0,1,252000,488000,1,0,1,0,3,772969.0
224,350000,392100,0.900965073529412,1,8463,1990,0,2.25,4,7,1996,0,0,80000,178000,0,0,1,0,1,388472.0
225,360000,423400,0.972886029411765,1,7813,2960,920,3.5,5,7,1996,0,0,80000,201000,0,0,1,0,1,370033.0
226,216900,400600,0.920496323529412,1,7500,970,0,1.0,3,7,1969,0,0,58000,104000,0,0,1,0,1,235634.0
227,240000,400600,0.920496323529412,1,7504,1230,0,2.0,4,6,1970,0,0,58000,131000,0,0,1,0,1,260729.0
228,335000,411700,0.946001838235294,1,8908,1220,170,1.75,3,7,1976,0,0,58000,153000,0,0,1,0,1,354122.0
229,240000,329600,0.757352941176471,1,7440,1820,780,2.5,4,7,1975,0,0,58000,186000,0,0,1,0,1,316893.0
230,293000,404400,0.929227941176471,1,7480,1470,420,2.5,3,7,1977,0,0,58000,157000,0,0,1,0,1,315316.0
231,187000,330600,0.759650735294118,1,7840,1750,0,1.75,4,7,1977,0,0,58000,147000,0,0,1,0,1,246166.0
232,945000,427800,0.982996323529412,1,8410,2870,1090,2.5,3,10,1998,0,0,244000,692000,0,0,1,0,4,961346.0
233,580000,432100,0.992876838235294,1,5500,2070,940,1.75,3,7,1946,0,0,420000,204000,0,0,1,0,4,584161.0
234,305000,428400,0.984375,1,7748,1590,0,2.25,3,7,1991,0,0,80000,175000,0,0,1,0,1,309841.0
235,307000,400600,0.920496323529412,1,7350,2040,0,2.5,3,7,1990,0,0,80000,166000,0,0,1,0,1,333516.0
236,225000,360700,0.828814338235294,1,7350,2040,0,2.5,3,7,1990,0,0,80000,166000,0,0,1,0,1,271472.0
237,300000,423400,0.972886029411765,1,7606,1660,0,2.25,3,7,1989,0,0,80000,178000,0,0,1,0,1,308361.0
238,200000,369800,0.849724264705882,1,7208,1620,0,1.75,3,7,1981,0,0,65000,157000,0,0,1,0,1,235370.0
239,220000,360700,0.828814338235294,1,7334,1660,530,2.75,4,7,1983,0,0,65000,149000,0,0,1,0,1,265439.0
240,320000,431300,0.991038602941177,1,7854,1500,0,2.0,4,7,1983,0,0,65000,166000,0,0,1,0,1,322894.0
241,252500,350900,0.806295955882353,1,7210,1540,0,2.0,3,7,1984,0,0,65000,172000,0,0,1,0,1,313160.0
242,328000,407700,0.936810661764706,1,7210,1750,0,2.5,3,7,1985,0,0,65000,189000,0,0,1,0,1,350124.0
243,284950,400600,0.920496323529412,1,7224,1730,0,2.75,3,7,1985,0,0,65000,189000,0,0,1,0,1,309561.0
244,265000,404400,0.929227941176471,1,6974,1140,0,1.75,3,7,1986,0,0,65000,132000,0,0,1,0,1,285183.0
245,286498,396500,0.911075367647059,1,6000,1230,0,1.75,3,7,1987,0,0,65000,133000,0,0,1,0,1,314461.0
246,304720,387600,0.890625,1,5995,1700,0,2.25,3,7,1986,0,0,65000,188000,0,0,1,0,1,342142.0
247,298000,434600,0.998621323529412,1,5999,1430,0,2.25,3,7,1987,0,0,65000,147000,0,0,1,0,1,298411.0
248,267800,427800,0.982996323529412,1,7077,1260,0,2.0,3,7,1988,0,0,65000,180000,0,0,1,0,1,272432.0
249,314950,430900,0.990119485294118,1,6650,1610,0,2.0,4,7,1989,0,0,65000,158000,0,0,1,0,1,318093.0
250,235000,352600,0.810202205882353,1,6671,1990,0,2.5,4,7,1989,0,0,65000,175000,0,0,1,0,1,290051.0
251,400950,430900,0.990119485294118,1,7802,2330,0,2.75,4,8,1992,0,0,68000,221000,0,0,1,0,1,404951.0
252,365000,414800,0.953125,1,6866,1890,0,2.25,4,8,1992,0,0,68000,193000,0,0,1,0,1,382951.0
253,351000,434600,0.998621323529412,1,8168,860,0,1.0,2,6,1948,0,0,301000,104000,0,0,1,0,4,351485.0
254,415000,350800,0.806066176470588,1,8168,1200,0,2.0,3,6,1948,0,0,301000,155000,0,0,1,0,4,514846.0
255,389000,315200,0.724264705882353,1,8168,1200,0,2.0,3,6,1948,0,0,301000,155000,0,0,1,0,4,537096.0
256,400000,360700,0.828814338235294,1,8395,1300,0,1.75,3,6,1948,0,0,301000,101000,0,0,1,0,4,482617.0
257,325000,387600,0.890625,1,8391,850,0,1.0,2,6,1948,0,0,301000,56000,0,0,1,0,4,364912.0
258,405000,392100,0.900965073529412,1,8053,1410,0,1.0,3,7,1951,0,0,301000,109000,0,0,1,0,4,449518.0
259,300000,350800,0.806066176470588,1,1654,1340,0,1.5,2,8,2009,0,0,94000,266000,0,0,0,1,4,372178.0
260,375000,350800,0.806066176470588,1,2900,1820,0,3.5,4,8,2009,0,0,94000,344000,1,0,0,1,4,465222.0
261,310000,360700,0.828814338235294,1,2290,1290,0,2.5,3,8,2005,0,2,87000,257000,0,0,0,1,4,374028.0
262,399000,418300,0.961167279411765,1,1975,1440,0,2.5,3,8,2006,0,2,87000,271000,1,0,0,1,4,415120.0
264,307450,421200,0.967830882352941,1,7272,1830,440,1.75,3,8,1979,0,0,66000,195000,0,0,1,0,1,317669.0
